"treatment_status","control","micro_credit","in_kind_grant","cash_grant","hasbiz","new_biz_assets","monthly_expanses","monthly_revenue","monthly_profits","labour_inc","total_inc","is_male","educ_college","educ_somecollege","educ_hs","age","marital_s","marital_m","worked","has_biz","family_inc_low","migrate","trained","has_kids"
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,1,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,0,0,0,1
1,0,1,0,0,1,53856.7719522334,4000,7000,3000,3000,3000,0,0,0,1,32,0,1,0,0,0,0,1,1
0,1,0,0,0,1,35941.4342030288,5500,7000,1500,1500,1500,0,0,0,0,32,0,1,0,0,0,0,0,1
0,1,0,0,0,1,43902.8895868241,1000,1300,300,2300,300,1,0,0,0,32,0,1,0,0,1,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,1,1,0,1,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,1,1,0,0,1,1
2,0,0,1,0,1,53920.6008696955,50,300,250,250,2750,1,0,0,1,32,0,1,1,1,0,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,1,0,0,0,1,1
1,0,1,0,0,1,51565.0950797529,2500,5000,2500,2500,2550,1,0,0,0,32,1,0,0,0,1,0,1,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,1,1,0,0,1,1
0,1,0,0,0,1,53920.6008696955,800,1000,200,200,250,0,1,0,0,32,0,1,1,0,0,0,0,1
0,1,0,0,0,1,62826.204441124,500,800,300,800,800,0,0,0,0,32,0,1,0,0,1,0,0,1
3,0,0,0,1,1,51665.0950797529,3000,7000,600,600,650,1,0,0,1,32,0,1,0,0,0,1,1,0
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,32,0,1,0,0,1,0,1,1
0,1,0,0,0,1,40686.9920127001,1000,2000,1000,3200,1000,0,0,0,0,34,0,1,0,0,1,0,0,1
1,0,1,0,0,1,53920.6008696955,500,700,200,200,250,0,0,0,1,32,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,32,0,1,0,0,1,0,1,0
3,0,0,0,1,1,43076.0172352523,2500,2000,600,600,600,0,0,0,1,32,0,1,0,0,0,0,1,1
2,0,0,1,0,1,48865.0950797529,1200,1500,300,300,300,1,0,0,0,32,0,1,1,1,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,1,0,0,0,1,NA
0,1,0,0,0,1,49576.5770601716,900,2000,0,0,50,1,0,0,0,32,0,1,1,0,0,0,0,1
0,1,0,0,0,1,56739.8461527143,3000,3600,600,600,650,1,0,0,1,32,1,0,0,0,0,1,0,NA
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,1,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,1,0,0,0,1,0,1,NA
1,0,1,0,0,1,53139.8461527143,600,1000,400,400,900,1,0,0,1,32,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,0,0,0,0,0,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,32,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA
0,1,0,0,0,1,54451.1683808049,4000,6000,2000,2000,2050,0,0,0,1,32,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,1,0,1,0
3,0,0,0,1,1,53920.6008696955,2000,3000,1000,1000,1050,0,0,0,1,32,0,1,0,0,0,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,1,1,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,0,0,0,1
3,0,0,0,1,1,53920.6008696955,1000,1000,300,500,700,1,1,0,0,32,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,1,1,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,32,0,1,0,0,0,1,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,0,1,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,0,0,1,1
3,0,0,0,1,1,53920.6008696955,200,400,200,200,1900,0,0,0,0,32,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,1,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,0,0,1,1
1,0,1,0,0,1,71017.5595238095,12500,15000,2500,2500,2550,0,0,0,0,32,0,0,0,0,1,0,1,1
1,0,1,0,0,1,39717.5595238095,1200,2000,800,800,800,0,0,0,1,32,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,1,1,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,1,1
3,0,0,0,1,1,53920.6008696955,1000,1200,200,200,200,0,0,0,1,32,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,1,0,32,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,1,0,0,0,0,0,0,NA
1,0,1,0,0,1,49745.8497967341,2700,3300,600,2100,675,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA
2,0,0,1,0,1,36192.9956567199,480,600,120,120,745,1,1,0,0,32,0,1,0,0,1,1,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,0,1,1,1
1,0,1,0,0,1,41467.7467296812,5000,7000,200,200,400,0,0,0,1,32,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,1,1
0,1,0,0,0,1,53920.6008696955,750,900,150,150,600,1,0,0,1,32,0,1,0,0,0,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,1,0,0,NA,0,NA
2,0,0,1,0,1,39186.9920127001,4000,4800,0,0,50,0,0,0,1,32,0,1,1,1,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,1,1
1,0,1,0,0,1,55120.6008696955,3000,3500,500,500,1380,0,0,0,0,32,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,1,0,1,1
0,1,0,0,0,1,53920.6008696955,600,0,0,0,500,1,0,0,1,32,0,1,1,0,0,1,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,1,0,0,0,1,0,1,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,32,1,0,1,1,0,0,1,NA
3,0,0,0,1,1,53920.6008696955,47000,50000,3000,3000,3000,1,0,0,1,32,1,0,0,0,1,0,1,NA
1,0,1,0,0,1,42686.9920127001,0,415,0,0,50,0,1,0,0,32,0,1,0,0,0,0,1,1
0,1,0,0,0,1,53920.6008696955,1000,1500,500,500,550,0,0,0,1,32,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,1,0,32,1,0,0,0,0,1,0,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,1,0,32,1,0,0,0,0,1,0,NA
3,0,0,0,1,1,49047.0651554097,150,14000,2000,3500,2050,0,0,0,0,32,0,1,1,0,0,1,1,1
3,0,0,0,1,1,53920.6008696955,400,600,200,200,690,0,0,0,0,32,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,1,1,0,0,0,1
1,0,1,0,0,1,39686.9920127001,0,50,0,0,650,1,0,0,0,32,0,1,0,0,0,1,0,0
1,0,1,0,0,1,58920.6008696954,2000,3000,1000,1000,1600,0,0,0,0,32,0,0,0,0,1,0,1,1
3,0,0,0,1,1,45205.4497241429,600,800,200,200,200,0,0,0,1,32,0,1,0,0,1,0,1,1
2,0,0,1,0,1,42501.0172352523,0,30,0,0,3050,0,0,0,1,32,0,1,1,1,0,0,0,1
2,0,0,1,0,1,50320.2379368958,1200,2200,1000,1000,1050,0,0,0,1,32,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,1,1,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,0,1
0,1,0,0,0,1,53920.6008696955,20000,24000,4000,4000,4050,0,0,0,0,32,0,1,0,0,1,0,0,1
2,0,0,1,0,1,41412.2409397387,1000,400,50,50,100,1,0,0,1,32,0,1,1,0,0,0,1,0
0,1,0,0,0,1,39002.8895868241,3000,3800,800,800,850,1,0,0,0,32,0,1,1,1,0,1,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,32,1,0,1,0,0,1,1,NA
0,1,0,0,0,1,37941.4342030288,300,0,0,2000,50,1,0,0,1,32,0,1,1,0,0,1,0,1
1,0,1,0,0,1,40980.6986511815,1000,1000,200,200,1600,0,0,0,0,32,0,1,0,0,0,0,1,1
0,1,0,0,0,1,67467.7467296812,23650,26500,2850,2850,3060,0,0,0,1,32,0,1,0,0,1,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,1,0,0,0,0,0
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,1,0,32,1,0,0,0,1,0,1,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,32,0,1,0,0,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,0,0,1,0,1,NA
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,1,0,0,32,0,1,1,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,32,1,0,0,0,1,0,1,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,1,1,0,1,1,NA
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,0,0,1,0
0,1,0,0,0,1,34967.5595238095,800,1100,200,200,455,1,0,0,1,32,0,0,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,0,1
3,0,0,0,1,1,53920.6008696955,4700,5500,800,800,800,0,0,0,1,32,0,1,1,1,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,0,0,0,1
1,0,1,0,0,1,56645.8497967341,8000,10000,2000,2700,2000,0,0,1,0,32,0,1,1,1,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,1,0,1,0
1,0,1,0,0,1,56920.6008696954,500,900,400,400,850,1,0,0,1,32,0,1,1,1,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,1,0,0,0,1,NA
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA
1,0,1,0,0,1,54145.8497967341,6000,10000,4000,5450,4050,1,0,0,1,32,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,32,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,32,1,0,0,0,0,0,1,NA
1,0,1,0,0,1,53920.6008696955,700,400,200,200,250,1,1,0,0,32,1,0,1,0,0,1,0,NA
0,1,0,0,0,1,35094.2110153955,500,0,0,0,500,1,0,0,1,32,0,1,0,0,0,1,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,1,0,1,1,0,1,1,NA
2,0,0,1,0,1,51145.8497967341,3500,7000,3500,3500,3500,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA
0,1,0,0,0,1,54347.0377744574,1500,2500,2500,5200,5500,0,0,0,0,32,0,1,0,0,0,0,0,1
1,0,1,0,0,1,53920.6008696955,5000,5500,500,1500,550,1,0,0,0,32,0,1,1,0,0,1,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,32,0,1,1,0,0,1,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,1,0,1,0,0,1,1,NA
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,0,1,1,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,28,0,1,0,0,0,0,1,1
0,1,0,0,0,1,53920.6008696955,1500,4000,2500,2500,2575,1,0,0,0,31,0,1,1,0,1,0,0,0
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,31,0,1,1,1,0,0,1,1
0,1,0,0,0,1,54420.6008696955,400,700,350,350,350,1,0,0,1,31,0,1,1,1,0,0,0,1
3,0,0,0,1,1,53920.6008696955,500,700,200,1300,250,0,0,0,0,31,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,1,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,0,0,0,0,1,NA
3,0,0,0,1,1,84467.7467296812,20000,12000,2000,2000,6075,0,0,0,1,31,1,0,1,0,0,0,1,NA
1,0,1,0,0,1,39573.065313752,6000,7500,1500,1500,1975,0,0,0,1,31,0,0,0,0,1,1,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,0,1,0,0,1,0,1,1
1,0,1,0,0,1,42941.4342030288,1200,2500,1300,1300,1350,0,1,0,0,31,0,1,1,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,1,0,0,31,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,1,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,0,1,1
3,0,0,0,1,1,53920.6008696955,1300,1700,400,400,450,1,0,0,1,31,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,1,0,31,0,1,1,0,0,1,1,0
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,0,1,0,0,0,1,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,0,0,1,0,0,NA
2,0,0,1,0,1,53920.6008696955,500,800,300,300,850,0,0,0,1,31,1,0,0,0,0,0,1,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,0,0,1,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,1,1
1,0,1,0,0,1,53920.6008696955,600,800,200,200,275,0,0,0,0,31,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,1,0,1,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,1
0,1,0,0,0,1,42467.7467296812,700,800,100,2100,150,1,0,0,1,31,0,1,0,0,0,1,0,1
2,0,0,1,0,1,80826.204441124,5000,8000,3000,3000,3950,0,0,1,0,31,0,1,0,0,0,NA,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,0,1,1
1,0,1,0,0,1,51645.8497967341,600,850,150,150,150,0,0,0,0,31,0,1,0,0,0,0,1,1
3,0,0,0,1,1,53139.8461527143,30,50,50,50,50,0,0,0,0,31,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,1,1
0,1,0,0,0,1,53920.6008696955,10000,14000,4000,5000,4075,0,0,1,0,31,0,1,0,0,1,0,0,1
2,0,0,1,0,1,53920.6008696955,250,500,250,250,250,0,0,0,0,31,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,0,0,0,0,1
0,1,0,0,0,1,54856.7719522335,1200,3000,1800,1800,2250,0,0,0,1,31,0,1,0,0,0,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,1
0,1,0,0,0,1,63412.2409397387,1000,1500,500,500,550,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
3,0,0,0,1,1,53920.6008696955,1000,1150,150,150,150,0,0,0,1,31,0,1,0,0,0,NA,0,1
0,1,0,0,0,1,53920.6008696955,550,615,65,65,115,0,0,0,1,31,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,0,0,1,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,0,0,0,0,0,NA
2,0,0,1,0,1,48467.7467296812,200,0,0,500,50,0,0,0,0,31,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,1,0,0,0,1,NA
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,0,1,1,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,1,1
3,0,0,0,1,1,53920.6008696955,3000,5000,2000,2000,2050,0,0,0,0,31,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,0,0,0,0,0,NA
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,0
0,1,0,0,0,1,72551.4533681626,1500,2500,1000,1000,1000,1,0,1,0,31,1,0,1,1,1,0,0,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,0,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,1,0,31,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,0,0,1,1,0,NA
1,0,1,0,0,1,53139.8461527143,100,400,0,0,50,1,0,0,1,31,0,1,1,0,0,1,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,0,0,0,1,0,0,0
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,1,0,0,1,1,0,1,NA
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,1,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,1,1
1,0,1,0,0,1,49467.7467296812,2000,2500,500,500,950,0,0,1,0,31,0,1,0,0,0,0,1,0
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,1,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,1
2,0,0,1,0,1,53920.6008696955,1900,2500,600,600,600,1,0,0,0,31,0,1,0,0,0,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,1,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,0,1,1,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,1,0,0,1,0,NA
2,0,0,1,0,1,47967.7467296812,1111,4000,1111,1111,1111,1,0,0,1,31,1,0,0,0,0,0,1,NA
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,1,0,0,0,0,0,0,NA
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,1,0,0,31,0,1,0,0,0,0,0,1
1,0,1,0,0,1,53139.8461527143,4000,5000,1000,1000,1050,1,0,0,1,31,1,0,1,0,0,0,1,NA
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,1,1,0,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,31,0,1,0,0,1,0,1,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,0,1
1,0,1,0,0,1,42686.9920127001,0,0,0,1800,50,0,0,0,1,31,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,1,1,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,0,1
0,1,0,0,0,1,50351.1683808049,1000,1400,400,400,775,1,0,0,0,31,0,1,1,1,1,0,0,1
2,0,0,1,0,1,53139.8461527143,350,500,150,150,200,1,1,0,0,31,0,1,1,0,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,0,0,1,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,1,0,1,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,1,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,1,0,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,0,0,1,1
1,0,1,0,0,1,53145.8497967341,700,2300,1600,1600,1650,1,0,0,1,31,0,1,1,1,0,0,0,0
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,31,0,1,0,0,0,0,0,1
